Run	A	B	C	C1	C2	C3	C4	C5	D	F	Energy
1	1.5708	1.5708	1.5708	4.7258	2.5723	4.7587	4.6626	1.5861	1.5708	0.5669	-3.8203
2	1.5708	1.5708	1.5708	4.6966	4.7186	4.6616	0.5519	5.7440	1.5708	4.6867	-3.8193
3	1.5708	1.5708	1.5708	4.7131	0.4773	4.8140	0.4238	5.7855	1.5708	2.7636	-3.8202
4	1.5708	1.5708	1.5708	2.6042	4.7243	2.5750	0.5695	5.7389	1.5708	4.6555	-3.8227
5	1.5708	1.5708	1.5708	4.7182	0.5206	4.7047	0.5302	1.5946	1.5708	0.4926	-3.8219
6	1.5708	1.5708	1.5708	2.6232	0.5165	0.5020	2.6521	5.7637	1.5708	0.4272	-3.8213
7	1.5708	1.5708	1.5708	0.5322	4.6573	4.7913	0.4671	1.5401	1.5708	0.5514	-3.8122
8	1.5708	1.5708	1.5708	0.5143	4.7589	0.4484	4.8285	5.7443	1.5708	2.4678	-3.8203
9	1.5708	1.5708	1.5708	2.6280	2.6150	4.7104	2.6414	3.6461	1.5708	2.5234	-3.8219
10	1.5708	1.5708	1.5708	4.7159	2.6428	2.5619	0.6071	5.7352	1.5708	0.4274	-3.8227
11	1.5708	1.5708	1.5708	4.7229	4.6836	0.5699	4.6252	3.6948	1.5708	0.7022	-3.8209
12	1.5708	1.5708	1.5708	4.6917	2.6525	0.4356	0.6184	5.7425	1.5708	2.5087	-3.8192
13	1.5708	1.5708	1.5708	4.7185	4.7181	4.6939	0.5365	1.6008	1.5708	2.6331	-3.8215
14	1.5708	1.5708	1.5708	2.6367	4.6678	2.6971	2.5090	5.7960	1.5708	4.9242	-3.8188
15	1.5708	1.5708	1.5708	0.5284	2.6851	2.4946	0.6519	3.6354	1.5708	4.5081	-3.8148
16	1.5708	1.5708	1.5708	0.5345	2.6046	0.5516	2.5728	1.5731	1.5708	0.6165	-3.8232
17	1.5708	1.5708	1.5708	2.6206	2.6120	2.6414	2.6019	1.5744	1.5708	2.6379	-3.8252
18	1.5708	1.5708	1.5708	4.7232	4.6952	0.5820	2.5462	1.6025	1.5708	2.7561	-3.8226
19	1.5708	1.5708	1.5708	0.5113	0.5383	4.6528	0.6077	1.5421	1.5708	2.4748	-3.8223
20	1.5708	1.5708	1.5708	2.6244	0.5330	2.6251	4.6714	5.7633	1.5708	2.6127	-3.8202
21	1.5708	1.5708	1.5708	2.6296	0.4956	4.7984	0.4033	1.6122	1.5708	2.7884	-3.8208
22	1.5708	1.5708	1.5708	4.7141	2.6573	0.4604	0.5668	1.5519	1.5708	4.5852	-3.8186
23	1.5708	1.5708	1.5708	2.6127	4.7002	4.7778	0.4094	3.6905	1.5708	0.6308	-3.8182
24	1.5708	1.5708	1.5708	4.7098	2.6136	2.5981	4.7487	1.5654	1.5708	0.4944	-3.8242
25	1.5708	1.5708	1.5708	4.7220	2.6069	4.7354	0.5447	5.7688	1.5708	4.6159	-3.8164
26	1.5708	1.5708	1.5708	4.7008	2.5923	0.5328	2.5894	1.5993	1.5708	4.7371	-3.8180
27	1.5708	1.5708	1.5708	0.5475	2.5926	0.5561	2.6036	3.6816	1.5708	2.6604	-3.8187
28	1.5708	1.5708	1.5708	4.7204	4.6945	4.7514	4.6436	5.7840	1.5708	0.6412	-3.8238
29	1.5708	1.5708	1.5708	4.7005	4.7417	0.5292	2.6505	3.6272	1.5708	4.6366	-3.8158
30	1.5708	1.5708	1.5708	2.6113	0.4991	0.5312	2.6182	5.7589	1.5708	2.6050	-3.8222
31	1.5708	1.5708	1.5708	4.7093	4.7282	2.5688	4.7531	5.7546	1.5708	4.6626	-3.8241
32	1.5708	1.5708	1.5708	0.5053	0.5455	4.6569	2.7029	5.7280	1.5708	2.5437	-3.8186
33	1.5708	1.5708	1.5708	2.6215	2.6086	4.7026	4.7093	3.6666	1.5708	2.5941	-3.8240
34	1.5708	1.5708	1.5708	4.7182	4.6574	4.7879	0.4660	1.5914	1.5708	0.5906	-3.8185
35	1.5708	1.5708	1.5708	0.5305	2.5945	2.6952	0.4317	5.7456	1.5708	0.6130	-3.8184
36	1.5708	1.5708	1.5708	4.7082	2.6441	4.7386	2.5664	3.6898	1.5708	2.6497	-3.8165
37	1.5708	1.5708	1.5708	4.7244	0.4990	0.5329	0.5354	5.7750	1.5708	2.6233	-3.8212
38	1.5708	1.5708	1.5708	2.6337	4.7341	0.4111	2.7665	3.6462	1.5708	2.4167	-3.8131
39	1.5708	1.5708	1.5708	4.7252	2.6541	0.4424	4.8166	5.7106	1.5708	2.4261	-3.8171
40	1.5708	1.5708	1.5708	2.6229	0.5191	4.7476	4.6431	5.7840	1.5708	4.7648	-3.8212
41	1.5708	1.5708	1.5708	4.7327	0.5289	4.6881	2.6310	5.7574	1.5708	2.6576	-3.8177
42	1.5708	1.5708	1.5708	4.7236	0.5261	2.6025	2.6854	5.7412	1.5708	2.5443	-3.8200
43	1.5708	1.5708	1.5708	2.6034	2.6145	0.5158	4.6592	5.7724	1.5708	2.7279	-3.8165
44	1.5708	1.5708	1.5708	0.5394	2.6005	4.7722	0.4637	5.7733	1.5708	2.6859	-3.8217
45	1.5708	1.5708	1.5708	2.6204	0.5742	0.4040	2.7317	5.7617	1.5708	2.5367	-3.8121
46	1.5708	1.5708	1.5708	4.7217	0.5568	2.5938	0.5573	1.5473	1.5708	4.6373	-3.8199
47	1.5708	1.5708	1.5708	0.5310	4.6976	4.7142	2.6033	1.5556	1.5708	4.6486	-3.8200
48	1.5708	1.5708	1.5708	0.5308	0.5472	2.6235	2.5609	1.5666	1.5708	0.6075	-3.8164
49	1.5708	1.5708	1.5708	0.5389	2.6073	2.6294	0.5131	1.5897	1.5708	0.5409	-3.8225
50	1.5708	1.5708	1.5708	2.6115	0.5105	0.5701	4.6638	3.6661	1.5708	2.7114	-3.8227
51	1.5708	1.5708	1.5708	2.6128	4.7446	0.5095	0.5447	5.7566	1.5708	4.7735	-3.8168
52	1.5708	1.5708	1.5708	2.6375	2.5914	4.7203	2.5794	1.5956	1.5708	0.5765	-3.8185
53	1.5708	1.5708	1.5708	4.7075	0.4979	0.5418	4.6794	3.6932	1.5708	0.6888	-3.8150
54	1.5708	1.5708	1.5708	4.7217	0.4972	2.6499	0.4858	1.6052	1.5708	0.6214	-3.8220
55	1.5708	1.5708	1.5708	0.5052	2.6125	4.7343	4.7176	1.5584	1.5708	0.6139	-3.8114
56	1.5708	1.5708	1.5708	4.6909	2.6089	4.7644	2.5815	3.6739	1.5708	4.7369	-3.8167
57	1.5708	1.5708	1.5708	4.7072	4.7082	4.7428	2.5831	5.7379	1.5708	4.7032	-3.8211
58	1.5708	1.5708	1.5708	0.5178	2.5832	4.7421	2.5662	1.5772	1.5708	2.6702	-3.8208
59	1.5708	1.5708	1.5708	0.5092	0.5447	0.4447	0.6136	1.5490	1.5708	2.4573	-3.8208
60	1.5708	1.5708	1.5708	4.7286	2.6046	4.7519	4.6537	5.8060	1.5708	2.7335	-3.8196
61	1.5708	1.5708	1.5708	2.6251	4.6852	2.5995	4.7535	1.5499	1.5708	4.6374	-3.8194
62	1.5708	1.5708	1.5708	2.6029	0.5273	2.6001	2.6524	3.6926	1.5708	0.4534	-3.8169
63	1.5708	1.5708	1.5708	0.5445	0.5161	0.5123	2.6431	5.7202	1.5708	4.6798	-3.8163
64	1.5708	1.5708	1.5708	2.6248	2.6180	0.5252	4.7126	1.5745	1.5708	0.5337	-3.8251
65	1.5708	1.5708	1.5708	2.5992	2.6488	2.6263	4.6848	5.7527	1.5708	0.5499	-3.8173
66	1.5708	1.5708	1.5708	4.7017	4.6729	2.7206	2.4820	3.7381	1.5708	2.8873	-3.8114
67	1.5708	1.5708	1.5708	4.7276	2.6280	0.4756	2.6554	5.7678	1.5708	2.5803	-3.8198
68	1.5708	1.5708	1.5708	2.6307	0.5257	0.5191	2.6121	1.5488	1.5708	0.5328	-3.8216
69	1.5708	1.5708	1.5708	2.6224	2.6358	2.5462	4.8079	5.7594	1.5708	2.5141	-3.8204
70	1.5708	1.5708	1.5708	4.6951	4.7437	4.6804	4.7951	1.5459	1.5708	0.3419	-3.8168
71	1.5708	1.5708	1.5708	0.5296	2.6330	2.6125	4.6898	5.7576	1.5708	4.7142	-3.8224
72	1.5708	1.5708	1.5708	0.5130	4.7220	4.7517	0.4764	3.6846	1.5708	0.6290	-3.8207
73	1.5708	1.5708	1.5708	0.5367	2.6206	2.6167	0.5289	1.6077	1.5708	2.6844	-3.8181
74	1.5708	1.5708	1.5708	4.7105	4.7144	4.7286	0.5048	5.7620	1.5708	0.6040	-3.8232
75	1.5708	1.5708	1.5708	0.5201	2.6671	2.5557	4.7375	3.6642	1.5708	0.4628	-3.8172
76	1.5708	1.5708	1.5708	4.7359	4.6801	4.8028	2.5317	3.6801	1.5708	0.6428	-3.8177
77	1.5708	1.5708	1.5708	2.6129	2.6454	0.4652	4.7979	3.6663	1.5708	4.6207	-3.8220
78	1.5708	1.5708	1.5708	0.5244	2.6528	2.5607	2.6651	1.5158	1.5708	0.4113	-3.8169
79	1.5708	1.5708	1.5708	2.6103	4.7246	4.7066	0.5173	3.6952	1.5708	4.7335	-3.8221
80	1.5708	1.5708	1.5708	4.6923	4.7429	0.4902	0.5710	1.5446	1.5708	4.6424	-3.8205
81	1.5708	1.5708	1.5708	2.6213	0.5478	0.4814	4.7611	3.6767	1.5708	2.5625	-3.8224
82	1.5708	1.5708	1.5708	2.6204	0.5916	4.5769	4.8540	5.7411	1.5708	0.3494	-3.8138
