Run	A	B	C	C1	C2	C3	C4	C5	D	F	Energy
1	1.5708	1.5708	1.5708	0.5033	0.6668	0.1114	3.1641	1.5106	1.5708	6.1228	-3.8519
2	1.5708	1.5708	1.5708	0.5414	2.4528	5.2067	6.1948	3.7549	1.5708	5.4491	-3.8563
3	1.5708	1.5708	1.5708	4.7349	0.4020	0.8769	4.2350	1.6437	1.5708	5.2908	-3.8444
4	1.5708	1.5708	1.5708	0.4999	4.8543	4.2637	5.3170	3.5816	1.5708	6.0771	-3.8561
5	1.5708	1.5708	1.5708	0.5010	2.7863	2.1725	1.0714	1.4947	1.5708	6.1162	-3.8533
6	1.5708	1.5708	1.5708	0.4883	2.7900	4.2347	1.1304	3.5824	1.5708	3.9928	-3.8552
7	1.5708	1.5708	1.5708	2.6373	2.4803	0.9408	6.2820	1.6452	1.5708	3.2835	-3.8537
8	1.5708	1.5708	1.5708	4.7383	4.5781	3.0632	6.2097	1.6501	1.5708	3.3597	-3.8549
9	1.5708	1.5708	1.5708	0.5279	2.4932	5.1487	6.2505	1.6640	1.5708	1.1987	-3.8535
10	1.5708	1.5708	1.5708	2.5862	4.8820	0.0793	5.2839	5.6861	1.5708	1.9142	-3.8544
11	1.5708	1.5708	1.5708	0.5543	4.5409	3.0730	6.2095	5.8259	1.5708	5.4557	-3.8533
12	1.5708	1.5708	1.5708	4.6895	0.6737	2.1186	1.1590	1.4999	1.5708	6.0684	-3.8558
13	1.5708	1.5708	1.5708	0.5083	4.8613	4.2520	5.2821	3.5947	1.5708	4.0295	-3.8540
14	1.5708	1.5708	1.5708	0.5395	2.4752	5.1906	6.1855	3.7462	1.5708	5.4327	-3.8554
15	1.5708	1.5708	1.5708	2.5734	2.7619	2.2292	5.2519	1.4843	1.5708	1.9531	-3.8484
16	1.5708	1.5708	1.5708	2.5781	2.8027	2.0829	3.2791	1.5205	1.5708	1.8071	-3.8473
17	1.5708	1.5708	1.5708	4.7511	2.4519	3.0750	2.0444	5.8508	1.5708	5.4381	-3.8528
18	1.5708	1.5708	1.5708	4.7190	0.3928	5.1420	4.1632	5.8528	1.5708	5.4161	-3.8534
19	1.5708	1.5708	1.5708	2.6129	0.6783	2.2236	1.0464	3.5827	1.5708	1.9572	-3.8503
20	1.5708	1.5708	1.5708	0.5223	4.5702	1.0154	1.9948	5.8432	1.5708	1.2716	-3.8512
21	1.5708	1.5708	1.5708	4.7181	0.4031	3.0160	2.0707	3.7383	1.5708	1.1774	-3.8490
22	1.5708	1.5708	1.5708	4.6814	4.8442	2.1925	5.2657	5.6938	1.5708	1.9182	-3.8524
23	1.5708	1.5708	1.5708	0.5055	0.6886	2.1250	3.2277	3.5855	1.5708	6.0697	-3.8567
24	1.5708	1.5708	1.5708	0.5199	4.8381	2.1705	5.2774	1.4643	1.5708	3.9949	-3.8497
25	1.5708	1.5708	1.5708	0.5582	2.4653	3.0859	4.1096	5.8482	1.5708	5.4504	-3.8557
26	1.5708	1.5708	1.5708	0.4966	4.8589	4.2078	3.2795	5.6865	1.5708	1.8633	-3.8527
27	1.5708	1.5708	1.5708	4.7006	2.7850	0.0200	5.3226	3.5675	1.5708	1.9159	-3.8516
